nohup: ignoring input
Waiting for backfill to complete...
Log: backfill_final_20260425_120021.log
[2026-04-25 12:05:16] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:07:16] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:09:16] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:11:16] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:13:16] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:15:16] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:17:16] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:19:16] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:21:16] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:23:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:25:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:27:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:29:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:31:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:33:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:35:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:37:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:39:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:41:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:43:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:45:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:47:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:49:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:51:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:53:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:55:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:57:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 12:59:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 13:01:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 13:03:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 13:05:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 13:07:17] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 13:09:17] 幣種: 21 / 528 | 總行數: 10082
